#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:04:00Z,41.26708978723401,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:05:00Z,41.254295335593234,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:06:00Z,41.24352058305085,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:07:00Z,41.242554706666674,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:08:00Z,41.23769618983052,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:09:00Z,41.24235572881356,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:10:00Z,41.24112289333334,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:11:00Z,41.236240027118654,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:12:00Z,41.234783945762715,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:13:00Z,41.235366400000004,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:14:00Z,41.2411229,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:15:00Z,41.26390630508475,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:16:00Z,41.23216298305085,distance_cm,tunnel_metrics_final
,,0,2026-01-11T18:43:13.9580528Z,2026-01-12T00:43:13.9580528Z,2026-01-11T20:17:00Z,41.242646976271196,distance_cm,tunnel_metrics_final
