#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-09T15:12:00Z,18.89331417,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-09T15:16:00Z,17.75116217,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-09T15:20:00Z,17.67519252,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-09T15:32:00Z,58.92385463,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-09T15:36:00Z,54.6775112,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-09T15:40:00Z,194.4191821,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T02:40:00Z,398.7988455,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T02:44:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T02:48:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T02:52:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T02:56:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:00:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:04:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:08:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:12:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:16:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:20:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:24:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:28:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:32:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:36:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:40:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:44:00Z,995.0145752,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:48:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:52:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T03:56:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:00:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:04:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:08:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:12:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:16:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:20:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:24:00Z,996.3484796,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:28:00Z,951.4953638,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:32:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:36:00Z,996.0631351,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:40:00Z,993.5247318,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T04:44:00Z,999,distance_cm,tunnel_metrics_final
,,0,2026-01-09T06:52:07.1954685Z,2026-01-10T06:52:07.1954685Z,2026-01-10T05:20:00Z,119.0387354,distance_cm,tunnel_metrics_final
